"Ion Inject Time [ms]"	"Precursor Charge"	"First Scan"	"Spectrum File"
"200"	"2"	"154"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"156"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"158"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"160"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"162"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"210"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"212"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"214"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"216"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"218"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"222"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"233"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"238"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"241"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"255"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"257"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"259"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"261"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"263"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"265"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"267"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"269"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"271"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"273"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"275"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"277"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"279"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"281"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"283"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"285"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"287"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"289"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"293"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"296"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"299"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"304"	"M495-E05-C643-P7617-1.raw"
"200"	"2"	"330"	"M495-E05-C643-P7617-1.raw"
